bcu,country,subregion
Torres Strait,Australia,Australia and New Zealand
Van Diemen Gulf,Australia,Australia and New Zealand
Gallon-NGBR,Australia,Australia and New Zealand
Mason - NGBR,Australia,Australia and New Zealand
Eel - NGBR,Australia,Australia and New Zealand
Mackay-GBR,Australia,Australia and New Zealand
Great Barrier Reef Central,Australia,Australia and New Zealand
WhitsundayReef 1 - SGBR,Australia,Australia and New Zealand
WhitsundayReef 2-SGBR,Australia,Australia and New Zealand
Cuba North/Bahamas,Bahamas,Caribbean-Atlantic
Bahamas,Bahamas,Caribbean-Atlantic
Central Bahamas,Bahamas,Caribbean-Atlantic
Persian Gulf,Bahrain,Red Sea-Persian Gulf
Maceio,Brazil,Caribbean-Atlantic
Salvador,Brazil,Caribbean-Atlantic
Abrolhos Bank,Brazil,Caribbean-Atlantic
Gulf of Thailand,Cambodia,Southeast Asia
Comoros/Mayotte,Comoros,Western Indian Ocean
Cuba Northwest,Cuba,Caribbean-Atlantic
Cuba South,Cuba,Caribbean-Atlantic
Cuba Southeast,Cuba,Caribbean-Atlantic
Hispanola,Cuba,Caribbean-Atlantic
SW Red Sea,Djibouti,Red Sea-Persian Gulf
Flores/Timor,East Timor,Southeast Asia
North Red Sea - Egypt I,Egypt,Red Sea-Persian Gulf
North Red Sea-Egypt II,Egypt,Red Sea-Persian Gulf
Sudan I,Egypt,Red Sea-Persian Gulf
Sudan II,Egypt,Red Sea-Persian Gulf
Southern Red Sea,Eritrea,Red Sea-Persian Gulf
SE Red Sea,Eritrea,Red Sea-Persian Gulf
Vanua Balavu - NE Fiji,Fiji,Melanesia
Vatu-i-Ra,Fiji,Melanesia
Tuamotus Northern,French Polynesia,Micronesia-Polynesia
Tuamotus Central,French Polynesia,Micronesia-Polynesia
Tuamotus Southern,French Polynesia,Micronesia-Polynesia
Tahiti,French Polynesia,Micronesia-Polynesia
Lakshadweep North,India,Western Indian Ocean
Lakshadweep,India,Western Indian Ocean
Sri Lanka,India,Western Indian Ocean
Nicobar Islands,India,Western Indian Ocean
Aceh,Indonesia,Southeast Asia
Simeulue to Nias,Indonesia,Southeast Asia
Riau Islands,Indonesia,Southeast Asia
North Sulawesi,Indonesia,Southeast Asia
Singapore,Indonesia,Southeast Asia
Halmahera,Indonesia,Southeast Asia
Belitung,Indonesia,Southeast Asia
Gulf of Tomini,Indonesia,Southeast Asia
Bird's Head,Indonesia,Southeast Asia
Mentawis,Indonesia,Southeast Asia
Banggai to Gulf of Tomini,Indonesia,Southeast Asia
Northern Papua,Indonesia,Southeast Asia
Obi Island,Indonesia,Southeast Asia
Cendrawasih,Indonesia,Southeast Asia
Central Sulawesi,Indonesia,Southeast Asia
South Papua,Indonesia,Southeast Asia
Gulf of Boni,Indonesia,Southeast Asia
Makassar,Indonesia,Southeast Asia
Sunda Strait,Indonesia,Southeast Asia
Sabalana Islands,Indonesia,Southeast Asia
Karimunjawa to Kangean,Indonesia,Southeast Asia
Takabonarate,Indonesia,Southeast Asia
Kenya/Somalia,Kenya,Western Indian Ocean
Tanzania/Kenya,Kenya,Western Indian Ocean
Northwest Madagascar,Madagascar,Western Indian Ocean
Sabah,Malaysia,Southeast Asia
Maldives North,Maldives,Western Indian Ocean
Maldives South,Maldives,Western Indian Ocean
Ralik Chain,Marshall Islands,Micronesia-Polynesia
North Mozambique,Mozambique,Western Indian Ocean
Rakhine Coast,Myanmar,Southeast Asia
Tanintharyi/Phuket,Thailand,Southeast Asia
Milne Bay,Papua New Guinea,Melanesia
Central Philippines,Philippines,Southeast Asia
Mindinao to Cebu,Philippines,Southeast Asia
Eastern Mindinao,Philippines,Southeast Asia
Palawan,Philippines,Southeast Asia
Sulu Archipelago,Philippines,Southeast Asia
Central Red Sea,Saudi Arabia,Red Sea-Persian Gulf
Solomon Islands,Solomon Islands,Melanesia
Somalia,Somalia,Western Indian Ocean
Central Tanzania,Tanzania,Western Indian Ocean
Southern Tanzania,Tanzania,Western Indian Ocean
